21-8232-7553,5,2023-11-09 19:28:55.240000 UTC
107-7151-3182,5,2023-11-09 19:28:54.077000 UTC
107-7151-3081,5,2023-11-09 19:26:43.847000 UTC
21-8232-7438,44,2023-11-09 19:26:26.617000 UTC
21-8232-7403,5,2023-11-09 19:25:47.417000 UTC
21-8232-7316,5,2023-11-09 19:23:54.333000 UTC
21-8232-7306,44,2023-11-09 19:23:44.013000 UTC
193-5924-9488,44,2023-11-09 19:23:42.373000 UTC
193-5924-9486,44,2023-11-09 19:23:41.830000 UTC
21-8232-7264,44,2023-11-09 19:22:59.397000 UTC
21-8232-7230,5,2023-11-09 19:22:24.547000 UTC
107-7151-2845,44,2023-11-09 19:22:02.967000 UTC
21-8232-7178,5,2023-11-09 19:21:22.027000 UTC
107-7151-2744,44,2023-11-09 19:19:54.950000 UTC
21-8232-7098,44,2023-11-09 19:19:39.553000 UTC
193-5924-9200,44,2023-11-09 19:18:15.950000 UTC
21-8232-6968,5,2023-11-09 19:17:18.563000 UTC
193-5924-9060,44,2023-11-09 19:15:30.207000 UTC
193-5924-9052,44,2023-11-09 19:15:22.337000 UTC
107-7151-2389,44,2023-11-09 19:12:43.587000 UTC
193-5924-8793,44,2023-11-09 19:09:58.817000 UTC
21-8232-6499,44,2023-11-09 19:07:46.177000 UTC
193-5924-8659,44,2023-11-09 19:07:15.087000 UTC
21-8232-6417,44,2023-11-09 19:06:02.937000 UTC
107-7151-2033,44,2023-11-09 19:05:44.330000 UTC
193-5924-8454,44,2023-11-09 19:03:17.727000 UTC
21-8232-6271,5,2023-11-09 19:03:16.323000 UTC
21-8232-6237,5,2023-11-09 19:02:33.233000 UTC
193-5924-8415,5,2023-11-09 19:02:26.873000 UTC
193-5924-8375,44,2023-11-09 19:01:40.823000 UTC
193-5924-8249,44,2023-11-09 18:59:13.817000 UTC
193-5924-8222,5,2023-11-09 18:58:36.360000 UTC
193-5924-8216,44,2023-11-09 18:58:28.017000 UTC
21-8232-5990,44,2023-11-09 18:57:38.090000 UTC
21-8232-5881,1,2023-11-09 18:55:40.517000 UTC
193-5924-8028,5,2023-11-09 18:54:59.420000 UTC
107-7151-1449,44,2023-11-09 18:54:21.307000 UTC
107-7151-1370,7,2023-11-09 18:52:53.743000 UTC
21-8232-5469,44,2023-11-09 18:47:38.740000 UTC
107-7151-0974,44,2023-11-09 18:45:11.667000 UTC
107-7151-0949,5,2023-11-09 18:44:43.127000 UTC
193-5924-7440,44,2023-11-09 18:43:35.823000 UTC
21-8232-5175,44,2023-11-09 18:41:58.673000 UTC
107-7151-0790,44,2023-11-09 18:41:44.157000 UTC
193-5924-7329,5,2023-11-09 18:41:32.233000 UTC
193-5924-7283,44,2023-11-09 18:40:40.223000 UTC
21-8232-4978,5,2023-11-09 18:38:24.820000 UTC
21-8232-4857,44,2023-11-09 18:36:08.587000 UTC
193-5924-6988,1,2023-11-09 18:35:15.367000 UTC
107-7151-0327,5,2023-11-09 18:33:09.550000 UTC
193-5924-6857,44,2023-11-09 18:32:51.453000 UTC
107-7151-0280,5,2023-11-09 18:32:15.633000 UTC
107-7151-0197,44,2023-11-09 18:30:45.083000 UTC
107-7151-0169,44,2023-11-09 18:30:18.240000 UTC
21-8232-4363,11,2023-11-09 18:26:54.997000 UTC
193-5924-6495,5,2023-11-09 18:26:01.560000 UTC
107-7150-9937,5,2023-11-09 18:25:49.753000 UTC
